data_timestep;lane_id;lane_queueing_length;lane_queueing_length_experimental;lane_queueing_time
0.00;puerto_guaica_0;0.00;18.56;0.00
1.00;puerto_guaica_0;0.00;17.18;0.00
2.00;;;;
3.00;puerto_guaica_0;0.00;18.56;0.00
4.00;puerto_guaica_0;0.00;17.19;0.00
5.00;;;;
6.00;;;;
7.00;;;;
8.00;;;;
9.00;;;;
10.00;;;;
11.00;;;;
12.00;;;;
13.00;;;;
14.00;;;;
15.00;;;;
16.00;;;;
17.00;;;;
18.00;;;;
19.00;;;;
20.00;res_salida_0;0.00;5.29;0.00
21.00;;;;
22.00;res_salida_0;0.00;10.82;0.00
23.00;;;;
24.00;;;;
25.00;;;;
26.00;;;;
27.00;semaforo_caminoreal_elejercito_0;0.00;7.04;0.00
28.00;lecheria_haciacaminoreal_0;0.00;3.30;0.00
28.00;res_salida_1;0.00;2.36;0.00
28.00;semaforo_caminoreal_elejercito_0;7.02;7.02;1.00
29.00;lecheria_haciacaminoreal_0;3.22;3.22;1.00
30.00;lecheria_haciacaminoreal_0;3.20;3.20;2.00
31.00;fuerzas_armadas_salida_1;0.00;6.05;0.00
31.00;lecheria_haciacaminoreal_0;9.71;9.71;3.00
31.00;lecheria_haciacaminoreal_1;0.00;6.06;0.00
32.00;fuerzas_armadas_salida_1;6.02;6.02;1.00
32.00;lecheria_haciacaminoreal_0;9.71;9.71;4.00
32.00;lecheria_haciacaminoreal_1;6.00;6.00;1.00
33.00;fuerzas_armadas_salida_1;6.01;6.01;2.00
33.00;lecheria_haciacaminoreal_0;9.71;9.71;5.00
33.00;lecheria_haciacaminoreal_1;6.00;6.00;2.00
34.00;fuerzas_armadas_salida_1;6.00;6.00;3.00
34.00;lecheria_haciacaminoreal_0;9.71;9.71;6.00
34.00;lecheria_haciacaminoreal_1;6.00;6.00;3.00
35.00;lecheria_haciacaminoreal_0;9.70;9.70;7.00
35.00;lecheria_haciacaminoreal_1;6.00;6.00;4.00
36.00;lecheria_haciacaminoreal_0;9.70;9.70;6.00
