interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;100.00;reporte_densidad_final;0;0;0;-1088913659;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1088915504;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1088915526;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1088915527;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1088918198;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1104799342;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1106623985;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1106649036#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1106649036#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1199343269#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1199343269#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1201018455#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1201018455#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1201018455#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1221886406;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1221886407;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1221886408#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1221886408#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1221886409;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1221886410;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1221886645;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1221886647;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1223688132;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1223688133#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1223688133#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-1223690883;0;0;0;0.00
