tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
54.00;fuerzas_armadas_entrada_0;144.11;5.61;4.00;4.00;res_salida_0;5.10;0.00;tripinfo_res_perrokero3.0 routing_res_perrokero3.0;50.00;res_perrokero3.0;0;254.78;1.11;0.00;7.70;liviano;;0;0.00
63.00;av_rio_entrada_0;228.82;11.31;1.00;1.00;res_salida_0;5.10;0.00;tripinfo_res_perrokero1.0 routing_res_perrokero1.0;62.00;res_perrokero1.0;1;501.42;1.06;0.00;7.35;liviano;;0;0.00
83.00;costanera_entrada_0;84.07;8.02;0.00;0.00;puerto_guaica_0;5.10;0.00;tripinfo_res_puerto1.0 routing_res_puerto1.0;83.00;res_puerto1.0;1;646.63;1.09;0.00;9.30;liviano;;0;0.00
104.00;fuerzas_armadas_entrada_0;144.11;3.99;6.00;6.00;av_rio_salida_0;5.10;0.00;tripinfo_rio_cost_L1.0 routing_rio_cost_L1.0;98.00;rio_cost_L1.0;1;543.09;0.77;0.00;12.31;liviano;;0;0.00
130.00;res_entrada_0;97.65;5.81;15.00;15.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_res_perrokero4.0 routing_res_perrokero4.0;115.00;res_perrokero4.0;1;262.64;1.09;0.00;80.73;liviano;;3;49.00
137.00;bissau_entrada_0;41.56;7.72;20.00;20.00;lecheria_salida_0;2.30;0.00;tripinfo_res_bissau3.0 routing_res_bissau3.0;117.00;res_bissau3.0;1;1258.47;0.93;0.00;14.63;moto;;0;0.00
138.00;fuerzas_armadas_entrada_0;144.11;3.18;39.00;3.00;av_rio_salida_0;5.10;0.00;tripinfo_rio_cost_L1.1 routing_rio_cost_L1.1;99.00;rio_cost_L1.1;1;543.09;0.78;0.00;14.28;liviano;;1;1.00
142.00;lecheria_entrada_0;316.19;14.09;3.00;3.00;puerto_guaica_0;5.10;0.00;tripinfo_res_puerto2.0 routing_res_puerto2.0;139.00;res_puerto2.0;1;1727.88;0.92;0.00;12.63;liviano;;0;0.00
149.00;lecheria_entrada_0;316.19;18.79;13.00;13.00;costanera_salida_0;2.30;0.00;tripinfo_cost_lech_M.0 routing_cost_lech_M.0;136.00;cost_lech_M.0;1;2233.65;1.16;0.00;11.38;moto;;0;0.00
158.00;fuerzas_armadas_entrada_0;144.11;3.80;74.00;2.00;av_rio_salida_0;5.10;0.00;tripinfo_rio_cost_L1.2 routing_rio_cost_L1.2;84.00;rio_cost_L1.2;1;543.09;0.91;0.00;11.40;liviano;;0;0.00
